step_id,step_name,step_description
1,crane_step_00,
2,crane_step_01_01,
3,crane_step_01_02,
4,crane_step_01_03,
5,crane_step_01_04,
6,crane_step_02_01,
7,crane_step_02_02,
8,crane_step_02_03,
9,crane_step_02_04,
10,crane_step_03_01,
11,crane_step_03_02,
12,crane_step_03_03,
13,crane_step_03_04,
14,crane_step_03_05,
15,crane_step_03_06,
16,crane_step_03_07,
17,crane_step_03_08,
18,crane_step_04_01,
19,crane_step_04_02,
20,crane_step_04_03,
21,crane_step_04_04,
22,crane_step_05_01,
23,crane_step_05_02,
24,crane_step_05_03,
25,crane_step_05_04,
26,crane_step_05_05,
27,crane_step_05_06,
28,crane_step_05_07,
29,crane_step_05_08,
30,crane_step_06_01,
31,crane_step_06_02,
32,crane_step_06_03,
33,crane_step_06_04,
34,crane_step_07_01,
35,crane_step_07_02,
36,crane_step_07_03,
37,crane_step_07_04,
38,crane_step_07_05,
39,crane_step_07_06,
40,crane_step_07_07,
41,crane_step_07_08,
42,crane_step_08_01,
43,crane_step_08_02,
44,crane_step_08_03,
45,crane_step_08_04,
46,crane_step_09_01,
47,crane_step_09_02,
48,crane_step_09_03,
49,crane_step_09_04,
50,crane_step_09_05,
51,crane_step_09_06,
52,crane_step_09_07,
53,crane_step_09_08,
54,crane_step_10_01,
55,crane_step_10_02,
56,crane_step_10_03,
57,crane_step_10_04,
58,crane_step_11_01,
59,crane_step_11_02,
60,crane_step_11_03,
61,crane_step_11_04,
62,crane_step_11_05,
63,crane_step_11_06,
64,crane_step_11_07,
65,crane_step_11_08,
66,crane_step_12_01,
67,crane_step_12_02,
68,crane_step_12_03,
69,crane_step_12_04,
70,crane_step_03_09,
71,crane_step_03_10,
72,crane_step_03_11,
73,crane_step_03_12,
74,crane_step_03_13,
75,crane_step_03_14,
76,crane_step_03_15,
77,crane_step_03_16,
78,fox_step_02_01,
79,fox_step_02_03,
80,fox_step_02_05,
81,fox_step_02_08,
82,fox_step_03_01,
83,fox_step_03_02,
84,fox_step_03_03,
85,fox_step_03_04,
86,fox_step_03_05,
87,fox_step_03_06,
88,fox_step_03_07,
89,fox_step_03_08,
90,fox_step_04_01,
91,fox_step_04_02,
92,fox_step_04_03,
93,fox_step_04_04,
94,fox_step_04_05,
95,fox_step_04_06,
96,fox_step_04_07,
97,fox_step_04_08,
98,fox_step_04_09,
99,fox_step_04_10,
100,fox_step_04_11,
101,fox_step_04_12,
102,fox_step_04_13,
103,fox_step_04_14,
104,fox_step_04_15,
105,fox_step_04_16,
106,fox_step_05_01,
107,fox_step_05_02,
108,fox_step_05_03,
109,fox_step_05_04,
110,fox_step_05_05,
111,fox_step_05_06,
112,fox_step_05_07,
113,fox_step_05_08,
114,fish_step_01_01,
115,fish_step_01_02,
116,fish_step_01_03,
117,fish_step_01_04,
118,fish_step_01_05,
119,fish_step_01_06,
120,fish_step_01_07,
121,fish_step_01_08,
122,fish_step_02_01,
123,fish_step_02_02,
124,fish_step_02_03,
125,fish_step_02_04,
126,fish_step_02_05,
127,fish_step_02_06,
128,fish_step_02_07,
129,fish_step_02_08,
130,fish_step_03_01,
131,fish_step_03_02,
132,fish_step_03_03,
133,fish_step_03_04,
134,fish_step_03_05,
135,fish_step_03_06,
136,fish_step_03_07,
137,fish_step_03_08,
138,fish_step_03_09,
139,fish_step_03_10,
140,fish_step_03_11,
141,fish_step_03_12,
142,fish_step_03_13,
143,fish_step_03_14,
144,fish_step_03_15,
145,fish_step_03_16,
146,fish_step_04_01,
147,fish_step_04_02,
148,fish_step_04_03,
149,fish_step_04_04,
150,fish_step_04_05,
151,fish_step_04_06,
152,fish_step_04_07,
153,fish_step_04_08,
154,fish_step_04_09,
155,fish_step_04_10,
156,fish_step_04_11,
157,fish_step_04_12,
158,fish_step_04_13,
159,fish_step_04_14,
160,fish_step_04_15,
161,fish_step_04_16,
